order_id,order_date,customer_id,product_id,store_id,region,sales_channel,quantity,unit_price,discount,payment_method,order_status
O100053,29-07-2024,C6830,,S205,South,Store,5,21479,0,UPI,Completed
O100054,21-08-2024,C5928,P1029,S238,East,Online,2,21239,0,Debit Card,Cancelled
O100055,24-08-2025,C6875,P1263,S228,South,Online,4,7564,0,UPI,Completed
O100056,29-11-2024,C5819,P1062,S204,North,Store,4,17006,0,UPI,Completed
O100057,15-09-2024,C6548,P1050,S226,North,Online,5,11986,0,UPI,Completed
O100058,06-03-2025,C5433,P1164,S243,South,Store,2,5775,0,Cash,Completed
O100059,14-04-2024,C5894,P1095,S232,North,Online,5,13952,88,Credit Card,Completed
O100060,19-11-2025,C5182,P1194,S224,East,Online,5,10696,0,Credit Card,Completed
O100061,23-03-2025,C6507,P1245,S244,EAST,Store,3,3373,0,Credit Card,Completed
O100062,06-11-2025,C6210,P1165,S205,South,Store,2,21855,0,Credit Card,Completed
O100063,19-12-2024,C5480,P1121,S249,East,Store,3,12001,0,Debit Card,Completed
O100064,24-10-2024,C6456,P1154,S224,East,Online,5,16309,0,Credit Card,Completed
O100065,13-01-2025,C5086,P1237,S210,SOUTH,Online,5,21100,0,Debit Card,Completed
O100066,01-04-2025,C5237,P1126,S200,West,Store,2,13666,0,Cash,Completed
O100067,12-12-2024,C6086,P1006,S228,South,Online,4,17945,0,Debit Card,Completed
O100068,12-07-2025,C5706,P1212,S229,South,Online,2,21743,0,Cash,Cancelled
O100069,18-11-2025,C6859,P1214,S232,North,Online,5,10921,115,Debit Card,Completed
O100070,08-03-2025,C5856,P1174,S236,West,Online,2,21347,0,Credit Card,Completed
O100071,29-08-2025,C6324,P1021,S241,South,Store,4,11470,0,Credit Card,Completed
O100072,04-06-2024,C5567,P1066,S216,East,Online,1,17713,0,Credit Card,Completed
O100073,17-07-2025,C6826,P1072,S220,South,Store,3,11213,0,UPI,Cancelled
O100074,07-07-2024,C5611,P1219,S202,East,Online,5,11028,0,Debit Card,Completed
O100075,24-08-2024,C5100,P1070,S246,North,Online,3,3836,0,Credit Card,Completed
O100076,18-12-2024,C6082,P1137,S227,North,Store,1,8938,0,Credit Card,Cancelled
O100077,05-05-2024,C5917,P1275,S207,North,Online,4,22022,0,Cash,Cancelled
O100078,05-08-2024,C5649,P1096,S236,West,Online,2,16951,0,UPI,Completed
O100079,09-06-2024,C5484,P1096,S241,South,Online,2,16951,0,Debit Card,Completed
O100080,18-10-2024,C5705,P1031,S214,West,Online,1,6951,0,Credit Card,Completed
O100081,02-09-2025,C5445,P1108,S235,North,Store,5,14233,0,Debit Card,Completed
O100082,06-02-2025,C5644,P1237,S223,West,Store,3,21100,0,Debit Card,Completed
O100083,13-08-2025,C6671,P1143,S230,East,Store,2,8850,0,Debit Card,Cancelled
O100084,16-06-2024,C5476,P1074,S222,East,Online,3,5321,0,Credit Card,Completed
O100085,06-04-2024,C5817,P1184,S212,West,Store,3,23546,0,Debit Card,Cancelled
O100086,07-01-2024,C6824,P1228,S227,North,Store,3,13342,0,Debit Card,Completed
O100087,31-01-2024,C5709,P1056,S219,North,Store,2,17229,0,UPI,Completed
O100088,10-10-2024,C6315,P1147,S200,West,Store,2,10106,0,UPI,Completed
O100089,18-06-2024,C5583,P1000,S224,East,Online,4,5850,0,UPI,Completed
O100090,25-08-2024,C6773,P1065,S238,East,Online,4,3007,168,UPI,Completed
O100091,28-06-2025,C6723,P1207,S200,West,Store,4,17879,0,UPI,Completed
O100092,01-07-2025,C5882,P1126,S215,East,Online,1,13666,454,Debit Card,Cancelled
O100093,23-09-2024,C5961,,S200,West,Store,2,14176,0,Cash,Cancelled
O100094,15-08-2024,C5310,P1140,S203,east, ONLINE ,3,18510,337,UPI,Completed
O100095,29-04-2024,C6232,P1264,S241,South,Online,4,5155,0,Credit Card,Cancelled
O100096,14-07-2024,C5247,P1060,S226,North,Store,2,-10490,425,Cash,shipped
O100097,17-08-2024,C5732,P1067,S222,East,Store,2,18554,0,Debit Card,Completed
O100098,03-10-2025,C5544,P1070,S239,West,Online,4,3836,0,UPI,Completed
O100099,03-03-2024,C5413,P1204,S222,East,Online,5,3675,0,Cash,Completed
O100100,03-03-2025,C5168,,S240,North,Store,2,17006,0,Debit Card,Completed
O100101,11-05-2025,C5419,P1254,S218,North,Online,4,18521,0,Debit Card,Completed
O100102,19-05-2025,,P1114,S243,South,Store,2,15114,402,Cash,Completed
O100103,13-10-2024,C5202,P1226,S218,North,Store,1,19224,195,Debit Card,Cancelled
O100104,01-01-2024,C6806,P1108,S226,North,Online,4,14233,0,Cash,Completed
O100105,16-03-2024,C5855,P1065,S235,North,Store,1,3007,237,Cash,Cancelled
O100106,03-05-2025,C6156,P1064,S241,South,Store,3,-13395,0,Credit Card,Completed
O100107,21-08-2024,C5279,P1253,S213,North,Store,-1,20605,400,Credit Card,Completed
O100108,04-08-2025,C5429,P1202,S210,North,Store,5,15754,160,Credit Card,Cancelled
O100109,28-01-2024,,P1250,S226,North,store,1,4746,0,UPI,Completed
O100110,14-05-2025,C5290,P1156,S221,North,Online,2,14997,0,Cash,Completed
O100111,08-02-2025,C5320,P1242,S249,East,Online,2,13862,464,UPI,Completed
O100112,25-01-2025,C6096,P1156,S228,South,Store,3,14997,0,Credit Card,Completed
O100113,08-11-2024,C6951,P1257,S225,South,Online,5,18316,350,UPI,Cancelled
O100114,04-09-2024,C6480,P1136,S223,West,Online,4,3271,0,UPI,Completed
O100115,28-05-2024,C6125,P1297,S234,East,Online,5,20307,0,Credit Card,Completed
O100116,26-11-2025,C5881,P1190,S213,North,Store,1,22649,0,Debit Card,Completed
O100117,29-11-2025,C5228,P1291,S208,East,Store,5,12542,0,Cash,Completed
O100118,10-12-2024,,P1024,S209,West,Store,1,15591,0,Cash,Completed
O100119,01-08-2025,C5087,P1056,S244,East,Store,2,-17229,0,Debit Card,Completed
O100120,30-07-2025,C6231,P1119,S214,West,Store,2,20033,0,Cash,Cancelled
O100121,31-05-2025,C5888,P1288,S221,North,Store,1,10267,0,Debit Card,Completed
O100122,05-01-2025,C5370,P1074,S215,East,Store,1,5321,244,UPI,Completed
O100123,05-03-2024,C5651,P1210,S220,South,Store,3,6616,0,Credit Card,Completed
O100124,14-04-2025,C5619,P1260,S205,South,Store,1,1933,0,Debit Card,Completed
O100125,05-04-2024,C6527,P1024,S239,West,Online,2,15591,0,UPI,Cancelled
O100126,07-10-2025,C5013,P1055,S205,South,STore,3,21841,0,Cash,Completed
O100127,02-11-2024,C6689,P1195,S242,North,Store,5,2809,0,Cash,Completed
O100128,03-05-2024,C6791,P1063,S218,North,Store,1,17739,0,Credit Card,Cancelled
O100129,03-03-2025,C5190,P1285,S217,West,Online,5,20596,283,UPI,Completed
O100130,02-08-2024,C6251,P1003,S221,North,Store,2,1494,0,Debit Card,Completed
O100131,02-03-2025,C6811,P1190,S220,South,Store,1,22649,0,UPI,Completed
O100132,03-03-2025,C6636,P1127,S203,East,Online,5,11658,0,Debit Card,Cancelled
O100133,02-08-2024,C5590,P1225,S205,South,Store,2,14610,0,Cash,Cancelled
O100134,29-11-2024,,P1165,S206,South,Store,4,21855,0,Credit Card,Completed
O100135,22-12-2024,C5070,P1101,S221,North,Online,1,17061,149,Credit Card,Completed
O100136,20-02-2025,C6979,P1238,S217,West,Online,5,18960,0,UPI,Completed
O100137,14-08-2024,C5006,,S234,East,Online,2,1933,0,Cash,Completed
O100138,11-12-2025,C6582,P1276,S226,North,Online,4,17692,237,UPI,Completed
O100139,13-05-2024,C5446,P1225,S245,East,Store,1,14610,0,Credit Card,Cancelled
O100140,15-10-2024,C6265,P1117,S231,North,Store,5,10710,0,Debit Card,Completed
O100141,16-05-2024,,P1147,S235,North,Online,5,10106,93,UPI,Completed
O100142,15-02-2024,C5341,P1017,S217,West,Online,3,16288,276,Debit Card,Completed
O100143,08-09-2024,C6858,P1145,S246,North,Online,1,13495,339,Credit Card,Completed
O100144,11-10-2024,C5898,P1143,S240,North,Store,2,-8850,0,Cash,Cancelled
O100145,26-08-2025,C5864,P1114,S249,East,Online,3,15114,0,UPI,Completed
O100146,12-12-2025,C5258,P1200,S231,North,Online,4,2422,0,UPI,Cancelled
O100147,27-02-2025,C5188,,S212,West,Store,2,10110,0,Credit Card,Completed
O100148,22-12-2024,C5836,P1190,S233,North,Online,3,22649,132,UPI,Completed
O100149,06-06-2024,C5846,P1216,S205,South,Online,2,19992,0,Cash,Completed
O100150,06-08-2024,C6827,,S236,west,store,2,14851,377,UPI,Completed
O100151,14-05-2024,C6365,P1261,S228,South,Online,-1,22756,0,Debit Card,Completed
O100152,21-01-2025,C5686,P1166,S230,East,Online,5,1640,0,UPI,Cancelled
O100153,19-05-2024,C5702,P1071,S212,West,Store,4,5086,164,Debit Card,Completed
O100154,29-05-2024,C5949,P1118,S229,South,Store,1,-23140,146,UPI,Completed
O100155,15-11-2024,C6748,,S246,North,Store,1,16729,0,Credit Card,Completed
O100156,17-08-2024,C6176,P1226,S229,South,Store,5,19224,236,UPI,Completed
O100157,26-01-2025,C6520,P1258,S248,West,Store,4,21780,0,Debit Card,Cancelled
O100158,02-10-2025,C6846,P1178,S228,South,Online,3,8635,0,Cash,Completed
O100159,03-08-2024,C5780,P1171,S244,East,Store,3,20278,0,UPI,Completed
O100160,02-07-2024,C5994,P1079,S248,West,Store,4,9159,0,Debit Card,Completed
O100161,21-06-2024,C6360,P1200,S222,East,Online,3,2422,0,Cash,Completed
O100162,30-08-2024,C5347,P1258,S240,North,Online,5,21780,259,Debit Card,Completed
O100163,30-07-2024,C5271,P1137,S211,West,Store,2,8938,0,UPI,Completed
O100164,23-10-2025,C5087,P1296,S235,North,Online,5,10596,0,Cash,Completed
O100165,24-11-2024,C6096,P1040,S204,North,Store,3,4205,81,Credit Card,Cancelled
O100166,11-12-2025,C6538,P1013,S203,East,Online,2,18762,0,Debit Card,Cancelled
O100167,13-02-2024,C6572,P1219,S214,West,Online,5,11028,0,Credit Card,Completed
O100168,14-01-2024,C5252,P1175,S210,North,Store,1,20666,0,Credit Card,Completed
O100169,23-02-2025,C5554,P1178,S207,North,Store,5,8635,0,Debit Card,Completed
O100170,21-02-2025,C6847,P1239,S235,North,Online,3,20434,443,UPI,Completed
O100171,20-08-2025,C6161,P1281,S209,West,Online,3,12731,0,Cash,Completed
O100172,05-11-2024,C6136,P1166,S216,East,Online,4,1640,0,Debit Card,Completed
O100173,14-01-2025,C5163,P1122,S204,North,Store,1,4929,0,Debit Card,Completed
O100174,09-06-2024,C5137,P1042,S213,North,Store,5,20007,0,Debit Card,Completed
O100175,24-05-2025,C5613,P1156,S231,North,Online,5,14997,0,Debit Card,Completed
O100176,10-02-2024,C5998,P1046,S215,East,Online,3,11020,0,Cash,Completed
O100177,15-11-2025,C6163,P1203,S213,North,Store,4,17152,0,UPI,Completed
O100178,11-01-2024,C6122,P1173,S243,South,Store,4,7396,261,Credit Card,Completed
O100179,10-12-2025,C6681,P1286,S200,West,Online,5,1267,333,Cash,Completed
O100180,09-09-2024,C6358,P1297,S212,West,Online,1,20307,0,Cash,Completed
O100181,02-10-2025,C6106,P1200,S204,North,Store,5,2422,308,Credit Card,Completed
O100182,20-10-2025,,P1184,S213,North,Online,5,23546,0,UPI,Cancelled
O100183,14-12-2024,C6911,P1153,S228,South,Online,5,14011,500,UPI,Cancelled
O100184,17-05-2024,C5899,P1039,S233,North,Store,4,3162,0,Credit Card,Cancelled
O100185,22-10-2025,C6654,P1054,S216,East,Store,3,17956,0,Debit Card,Cancelled
O100186,26-08-2024,C5365,P1157,S242,North,Store,1,20469,244,Cash,Completed
O100187,12-04-2025,C5127,P1099,S200,West,Online,3,17578,444,Debit Card,Completed
O100188,10-12-2024,C5759,P1273,S226,North,Online,1,17610,343,UPI,Completed
O100189,11-10-2025,C5443,P1119,S233,North,Store,1,20033,0,UPI,Completed
O100190,17-01-2025,C5413,P1155,S204,North,Store,2,15032,0,Debit Card,Completed
O100191,06-10-2025,C5051,P1202,S202, EAST ,store,1,15754,0,Debit Card,Completed
O100192,11-12-2024,C5897,P1186,S204,North,Store,2,14983,0,Debit Card,Completed
O100193,25-02-2024,,P1082,S204,North,Store,3,8487,0,UPI,Completed
O100194,29-05-2024,C6115,P1042,S206,South,Online,5,20007,427,UPI,Completed
O100195,30-05-2025,C5382,P1098,S239,West,Online,1,22065,0,UPI,Cancelled
O100196,12-09-2024,C5840,P1285,S227,North,Store,5,20596,0,UPI,Completed
O100197,11-01-2025,C6293,P1219,S247,North,Store,5,11028,348,Cash,Completed
O100198,03-05-2024,C5400,P1118,S216,East,Online,5,23140,0,UPI,Completed
O100199,15-04-2025,C6335,P1067,S217,West,Online,1,18554,0,Debit Card,Cancelled
O100200,20-04-2024,C6933,P1066,S204,North,Online,5,17713,0,Cash,Completed
O100201,18-07-2024,C6960,P1174,S213,North,Online,1,21347,0,Debit Card,Completed
O100202,28-05-2024,C6067,P1067,S217,West,Store,4,18554,0,UPI,Completed
O100203,18-03-2024,C6154,P1094,S209,West,Online,1,3783,0,Credit Card,Completed
O100204,12-03-2025,C6308,P1287,S204,North,Store,2,21054,0,Cash,Completed
O100205,23-06-2024,C6806,P1163,S238,East,Online,3,11924,0,Credit Card,Completed
O100206,24-01-2025,C6381,P1113,S224,East,Store,2,2267,0,Debit Card,Completed
O100207,16-10-2024,C5211,P1105,S212,West,Store,2,10648,0,Debit Card,Completed
O100208,16-08-2025,C5621,P1169,S228,South,Store,4,5160,0,Debit Card,Completed
O100209,04-10-2024,C6935,P1272,S229,South,Online,4,21727,0,Debit Card,Completed
O100210,22-02-2025,C6616,P1105,S200,West,Online,1,10648,322,Cash,Completed
O100211,11-02-2024,C6062,P1085,S204,North,Store,1,5647,0,Cash,Completed
O100212,18-04-2025,C5796,P1244,S243,South,Store,2,5773,0,Debit Card,Completed
O100213,17-05-2025,C5908,P1129,S227,North,Store,2,5589,0,Debit Card,Completed
O100214,02-04-2025,C6852,P1191,S215,East,Online,5,13093,0,Debit Card,Completed
O100215,19-11-2024,C5321,P1137,S232,North,Store,3,8938,0,Debit Card,Cancelled
O100216,23-05-2024,C6994,P1153,S242,North,Online,2,14011,441,Credit Card,Completed
O100217,07-12-2025,C5674,P1062,S232,North,Online,5,17006,0,Credit Card,Completed
O100218,13-01-2025,C6102,P1260,S237,North,Store,2,1933,0,Credit Card,Completed
O100219,28-12-2024,C6607,P1207,S225,South,Online,2,17879,0,UPI,Cancelled
O100220,30-05-2024,C5745,P1028,S201,South,Store,4,7958,0,Credit Card,Cancelled
O100221,18-03-2024,C5554,P1052,S215,East,Store,5,13741,0,UPI,Completed
O100222,18-04-2025,C5057,P1044,S209,West,Online,5,11357,0,UPI,Cancelled
O100223,25-11-2025,C5088,P1000,S243,South,Store,3,5850,0,Credit Card,Cancelled
O100224,17-05-2025,C5571,P1198,S207,North,Online,1,834,0,UPI,Completed
O100225,08-03-2025,C5141,P1042,S241,South,Online,5,20007,0,Credit Card,complete
O100226,12-09-2025,C5105,P1110,S222,East,Store,1,5745,0,UPI,Cancelled
O100227,21-08-2024,C5217,P1115,S241,South,Store,2,20308,0,Credit Card,Completed
O100228,25-05-2025,C6814,P1248,S241,South,Online,2,13480,0,Debit Card,Cancelled
O100229,05-07-2024,C6866,P1003,S221,North,Store,4,1494,0,Debit Card,Cancelled
O100230,31-12-2024,C5047,P1121,S226,North,Store,4,12001,0,Cash,Completed
O100231,13-02-2025,C5532,P1163,S217,West,Store,2,11924,0,UPI,Completed
O100232,12-02-2024,C6409,P1147,S214,West,Store,2,10106,139,UPI,Cancelled
O100233,21-10-2024,C6029,P1216,S228,South,Online,5,19992,0,Credit Card,Completed
O100234,15-10-2025,C5486,P1286,S234,East,Store,4,1267,0,Debit Card,Cancelled
O100235,04-03-2025,C6421,P1269,S245,East,Online,1,4684,0,Cash,Completed
O100236,11-07-2024,C6836,P1020,S249,East,Online,3,10169,0,UPI,Cancelled
O100237,27-05-2025,C5822,P1296,S225,South,Online,1,10596,496,Credit Card,Completed
O100238,14-04-2025,C5650,P1174,S202,East,Store,2,21347,0,Cash,Cancelled
O100239,17-08-2025,C6117,P1252,S215,East,Online,3,17202,0,Cash,Completed
O100240,14-10-2025,C6360,P1157,S211,West,Online,4,20469,0,Cash,Completed
O100241,13-03-2025,C6973,P1121,S200,West,Store,2,12001,0,Credit Card,Completed
O100242,31-07-2024,C5669,P1005,S209,West,Store,2,15987,0,Credit Card,Completed
O100243,27-11-2025,C5321,P1164,S212,West,Store,2,5775,0,Debit Card,Completed
O100244,06-03-2024,C5872,P1147,S228,South,Store,2,10106,0,UPI,Cancelled
O100245,13-11-2024,C6972,P1126,S215,East,Store,4,13666,0,Debit Card,Completed
O100246,16-01-2024,C5972,P1160,S224,East,Online,4,17020,0,UPI,Cancelled
O100247,20-11-2025,C5026,P1270,S234,East,Store,4,19833,0,UPI,Completed
O100248,22-12-2024,C5911,P1192,S223,West,Online,1,20500,429,Debit Card,Cancelled
O100249,03-09-2025,C6446,P1228,S212,West,Online,4,13342,0,Credit Card,Completed
O100250,18-01-2025,C6528,P1203,S202,East,Online,2,17152,449,Debit Card,Cancelled
O100251,13-05-2024,C6939,P1000,S229,South,Store,-2,5850,0,Credit Card,Cancelled
O100252,27-12-2025,C6948,P1261,S233,North,Online,4,22756,0,Credit Card,Completed
O100253,21-05-2025,C5053,P1015,S226,North,Online,1,19492,0,Credit Card,Cancelled
O100254,21-05-2024,C6782,P1054,S236,West,Online,5,17956,0,Credit Card,Cancelled
O100255,08-09-2025,C5053,P1294,S234,East,Online,2,16364,210,Cash,Cancelled
O100256,10-03-2024,C5543,P1129,S228,South,Online,2,5589,0,Credit Card,Completed
O100257,21-03-2025,C5109,P1186,S224,East,Online,3,14983,0,Cash,Completed
O100258,30-04-2024,C6382,P1070,S226,North,Store,2,3836,0,Credit Card,Completed
O100259,21-09-2025,C6793,P1274,S249,East,Store,2,20728,0,Credit Card,Cancelled
O100260,30-10-2025,C6675,P1097,S225,South,Store,2,8915,0,UPI,Completed
O100261,20-01-2025,C5775,P1144,S220,South,Store,5,21604,0,Debit Card,Completed
O100262,05-04-2024,C5913,P1133,S239,West,Online,5,14458,0,Debit Card,Completed
O100263,30-10-2024,C5117,P1134,S235,North,Online,4,8636,0,Cash,Completed
O100264,18-12-2025,C5930,P1073,S208,East,Store,4,5249,0,Debit Card,Completed
O100265,11-05-2024,C6621,P1005,S228,South,Store,3,15987,0,UPI,Completed
O100266,29-10-2024,C5139,P1178,S245,East,Online,3,8635,288,Debit Card,Completed
O100267,31-05-2024,C5048,P1029,S234,East,Online,4,21239,63,UPI,Completed
O100268,10-04-2024,C6897,P1118,S207,North,Online,4,23140,61,Cash,Cancelled
O100269,03-12-2025,C5029,P1259,S215,East,Store,5,13997,349,Cash,Completed
O100270,03-06-2024,C5880,P1041,S248,West,Store,1,15445,0,UPI,Cancelled
O100271,09-10-2025,C5790,P1073,S238,East,Online,1,5249,0,Debit Card,Completed
O100272,22-06-2024,C6358,P1021,S247,North,Store,5,11470,0,UPI,Completed
O100273,18-10-2025,C5532,P1169,S248,West,Online,3,5160,458,Credit Card,Completed
O100274,09-07-2025,C5462,P1221,S238,East,Store,5,17898,0,Cash,Completed
O100275,02-11-2025,C5504,P1042,S202,East,Online,4,20007,88,Debit Card,Completed
O100276,07-08-2024,C6347,P1195,S244,East,Store,1,2809,0,Cash,Cancelled
O100277,30-05-2024,C5950,P1033,S229,South,Online,4,16111,199,Cash,Completed
O100278,01-03-2025,C6679,P1279,S224,East,Store,3,5899,0,Debit Card,Completed
O100279,23-12-2024,C6636,P1272,S243,South,Store,3,21727,0,Credit Card,Completed
O100280,18-11-2025,C6259,P1018,S240,North,Online,5,14106,444,UPI,Completed
O100281,06-03-2025,C5517,P1188,S217,West,Store,5,15328,0,Credit Card,Completed
O100282,20-06-2024,C6746,P1269,S222,East,Store,1,4684,252,Cash,Completed
O100283,25-06-2024,C5456,P1192,S207,North,Online,4,20500,0,Cash,Completed
O100284,10-02-2024,C5776,P1195,S244,East,Store,5,2809,311,UPI,Completed
O100285,05-01-2025,C5047,P1196,S218,North,Online,3,13692,0,Credit Card,Completed
O100286,14-01-2025,C6434,P1195,S240,North,Store,5,2809,0,Debit Card,Completed
O100287,26-03-2024,C6510,P1018,S233,North,Store,2,14106,496,UPI,Cancelled
O100288,29-11-2024,C6043,P1297,S201,South,Store,1,20307,0,Cash,Completed
O100289,11-04-2024,C6090,P1169,S214,West,Store,1,5160,0,Cash,Cancelled
O100290,08-05-2025,C5737,P1196,S207,North,Online,3,13692,0,Debit Card,Completed
O100291,01-09-2025,C6583,P1284,S240,North,Online,2,13277,0,Debit Card,Cancelled
O100292,18-01-2025,C5463,P1239,S206,South,Store,5,20434,0,Credit Card,Cancelled
O100293,17-04-2024,C5521,P1129,S207,North,Online,4,5589,0,Cash,Completed
O100294,01-06-2024,C5695,P1228,S206,South,Online,1,13342,0,Credit Card,Completed
O100295,04-11-2025,C5939,P1010,S229,South,Online,4,8826,0,UPI,Cancelled
O100296,03-07-2024,C5238,P1155,S210,North,Online,4,15032,0,Debit Card,Completed
O100297,23-02-2025,C6285,P1016,S249,East,Store,4,11602,0,UPI,Completed
O100298,02-02-2024,C5549,P1183,S232,North,Store,5,3139,168,UPI,Completed
O100299,27-12-2025,C6032,P1258,S217,West,Store,1,21780,0,UPI,Completed
O100300,03-09-2024,C5301,P1185,S210,North,Store,4,7628,202,UPI,Completed
O100301,05-08-2025,C6156,P1290,S228,South,Online,3,5987,0,Cash,Completed
O100302,14-06-2024,C5225,P1291,S247,North,Online,1,12542,169,Credit Card,Completed
O100303,03-05-2024,C6556,P1039,S234,East,Store,5,3162,51,Credit Card,Completed
O100304,02-03-2025,C5156,P1207,S245,East,Store,4,-17879,0,UPI,Cancelled
O100305,01-12-2024,C5688,P1191,S207,North,Store,2,13093,0,UPI,Completed
O100306,25-03-2025,C6214,P1185,S230,East,Online,5,7628,366,Cash,Completed
O100307,26-06-2025,C6764,P1077,S232,North,Online,5,5894,0,UPI,Cancelled
O100308,19-08-2025,C6163,P1039,S203,East,Store,3,3162,0,UPI,Cancelled
O100309,01-01-2024,C5555,P1254,S223,West,Online,3,18521,0,Cash,Completed
O100310,23-11-2025,C6752,P1153,S239,West,Online,4,14011,0,Debit Card,Completed
O100311,03-01-2025,C6169,P1200,S212,West,Store,2,2422,0,UPI,Cancelled
O100312,22-11-2025,C5804,P1156,S201,South,Online,5,14997,0,Cash,Completed
O100313,08-05-2025,C6466,P1122,S218,North,Store,5,4929,0,Debit Card,Completed
O100314,29-06-2024,C6671,P1224,S202,East,Store,3,21622,0,Debit Card,Completed
O100315,15-06-2024,C5727,P1173,S202,East,Store,4,7396,0,Credit Card,Completed
O100316,11-11-2024,C6538,P1280,S243,South,Store,5,17740,0,UPI,Completed
O100317,13-08-2025,C5621,P1231,S212,West,Online,3,11775,0,Debit Card,Completed
O100318,29-01-2025,C6046,P1051,S222,East,Online,3,16446,359,UPI,Cancelled
O100319,15-01-2024,C5108,P1263,S204,North,Online,5,7564,186,Debit Card,Completed
