product_id,product_name,category,sub_category,brand,cost_price,list_price,active_flag
P1092,Alias Laptops,Electronics,Laptops,Bhakta PLC,8636,9784,True
P1093,Hic Furniture,Home & Kitchen,Furniture,Joshi Inc,4453,7635,True
P1094,Sint Laptops,Electronics,Laptops,"Dada, Uppal and Talwar",972,3783,True
P1095,Fugit Food,Grocery,Food,Gupta and Sons,13786,13952,True
P1096,Odio Footwear,Fashion,Footwear,Krishna-Swamy,14887,16951,True
P1097,Impedit Household,Grocery,Household,"Lalla, Sastry and Kala",8625,8915,True
P1098,Ipsum Decor,Home & Kitchen,Decor,"Bail, Johal and Sharma",19622,22065,True
P1099,Eius Decor,Home & Kitchen,Decor,Arora-Sani,13662,17578,True
P1100,Natus Mobile,Electronics,Mobile Phones,Kunda-Chauhan,9085,9778,True
P1101,Vero Footwear,Fashion,Footwear,Sachar-Brar,16667,17061,True
P1102,Veritatis Food,Grocery,Food,Sarraf-Raja,9917,11805,True
P1103,Pariatur Men,Fashion,Men Clothing,Malhotra-Sanghvi,16719,19689,True
P1104,Aliquid Mobile,Electronics,Mobile Phones,Bassi-Aggarwal,16611,18741,True
P1105,Enim Women,Fashion,Women Clothing,Sankar PLC,6352,10648,True
P1106,Velit Household,Grocery,Household,Dubey-Sani,12926,16729,True
P1107,Maiores Beverages,Grocery,Beverages,Kapadia Inc,5180,7054,True
P1108,Odit Women,Fashion,Women Clothing,Basak Ltd,13234,14233,True
P1109,Veritatis Household,Grocery,Household,Grewal-Khatri,858,5046,True
P1110,Non Food,Grocery,Food,Warrior-Raval,3237,5745,True
P1111,Nam Household,Grocery,Household,"Sule, Toor and Salvi",4210,6965,True
P1112,Atque Furniture,Home & Kitchen,Furniture,Desai Ltd,14115,14915,True
P1113,Eveniet Food,Grocery,Food,Wali-Sagar,1090,2267,True
P1114,Placeat Furniture,Home & Kitchen,Furniture,"Kohli, Chaudhary and Grover",11523,15114,True
P1115,Explicabo Decor,Home & Kitchen,Decor,Kumar PLC,17044,20308,True
P1116,Nostrum Beverages,Grocery,Beverages,Bansal-Thaman,1059,5919,True
P1117,Delectus Appliances,Home & Kitchen,Appliances,Shan-Badal,7389,10710,True
P1118,Nobis Women,Fashion,Women Clothing,Uppal-Mallick,19401,23140,True
P1119,Iusto Mobile,Electronics,Mobile Phones,Bumb LLC,15200,20033,True
P1120,Harum Decor,Home & Kitchen,Decor,Andra-Hari,18830,20523,True
P1121,Laudantium Laptops,Electronics,Laptops,Mander Ltd,7514,12001,True
P1122,Libero Furniture,Home & Kitchen,Furniture,Hans-Bora,3548,4929,True
P1123,Nisi Decor,Home & Kitchen,Decor,Bhandari PLC,11017,15348,True
P1124,Vero Food,Grocery,Food,"Kumer, Rege and Hayer",16784,18693,True
P1125,Voluptatem Men,Fashion,Men Clothing,Tailor-Chakraborty,6698,8150,True
P1126,Dolore Appliances,Home & Kitchen,Appliances,"Cheema, Mangal and Ramesh",11822,13666,True
P1127,Dolor Women,Fashion,Women Clothing,Doshi Inc,11524,11658,True
P1128,Ab Footwear,Fashion,Footwear,Shukla PLC,5679,10078,True
P1129,Rem Food,Grocery,Food,"Bains, Sodhi and Viswanathan",1226,5589,True
P1130,Veritatis Laptops,Electronics,Laptops,Bhattacharyya-Behl,7452,9394,True
P1131,Nostrum Decor,Home & Kitchen,Decor,Walia-Bajaj,19589,20406,True
P1132,Dolores Accessories,Electronics,Accessories,Dutta and Sons,14355,19210,True
P1133,Perferendis Household,Grocery,Household,"Agate, Chowdhury and Baral",14274,14458,True
P1134,Iure Beverages,Grocery,Beverages,Ravel-Choudhry,5795,8636,True
P1135,Quia Decor,Home & Kitchen,Decor,Aggarwal-Lad,16729,18707,True
P1136,Provident Appliances,Home & Kitchen,Appliances,"Sarma, Sheth and Acharya",2341,3271,True
P1137,Rerum Household,Grocery,Household,"Bhardwaj, Sha and Shukla",7512,8938,True
P1138,Corporis Beverages,Grocery,Beverages,Shukla Group,7607,8919,True
P1139,Numquam Food,Grocery,Food,"Ganesh, Ganesan and Bhattacharyya",18585,21395,True
P1140,Voluptate Accessories,Electronics,Accessories,Kara LLC,16028,18510,True
P1141,Excepturi Laptops,Electronics,Laptops,Ganesh-Dewan,1876,5607,True
P1142,Ab Furniture,Home & Kitchen,Furniture,"Kale, Halder and Anand",7256,11011,True
P1143,Harum Beverages,Grocery,Beverages,Bera-Dewan,8032,8850,True
P1144,Laudantium Food,Grocery,Food,Kumer-Gandhi,19156,21604,True
P1145,Maiores Women,Fashion,Women Clothing,"Dhar, Grover and Chauhan",10583,13495,True
P1146,Voluptatum Men,Fashion,Men Clothing,"Barman, Dixit and Bobal",10934,13303,True
P1147,Esse Decor,Home & Kitchen,Decor,Kumer-Jayaraman,7666,10106,True
P1148,Nemo Food,Grocery,Food,Tella-Chaudhry,9567,10231,True
P1149,Tempore Accessories,Electronics,Accessories,Datta-Sandal,8851,12341,True
P1150,Mollitia Food,Grocery,Food,"Kari, Kalita and Bhatt",3352,7422,True
P1151,Dolore Appliances,Home & Kitchen,Appliances,Divan Ltd,11034,12508,True
P1152,Blanditiis Decor,Home & Kitchen,Decor,Chacko Ltd,7599,11737,True
P1153,Architecto Laptops,Electronics,Laptops,Shenoy and Sons,9859,14011,True
P1154,Iure Mobile,Electronics,Mobile Phones,Saini-Soni,14947,16309,True
P1155,Consequuntur Decor,Home & Kitchen,Decor,"Wagle, Deshpande and Kohli",13918,15032,True
P1156,Iusto Household,Grocery,Household,"Behl, Hayre and Tata",11834,14997,True
P1157,Id Decor,Home & Kitchen,Decor,Varghese-Trivedi,19419,20469,True
P1158,Qui Laptops,Electronics,Laptops,Bhat-Kadakia,17364,18699,True
P1159,Omnis Mobile,Electronics,Mobile Phones,Manne and Sons,14504,18152,True
P1160,Molestias Mobile,Electronics,Mobile Phones,"Gaba, Golla and Handa",16324,17020,True
P1161,Esse Footwear,Fashion,Footwear,Barman PLC,18988,23914,True
P1162,Nihil Household,Grocery,Household,Dugar-Kadakia,4007,8893,True
P1163,Labore Food,Grocery,Food,"Banerjee, Devi and Khare",10941,11924,True
P1164,Facere Furniture,Home & Kitchen,Furniture,Varkey-Varty,2533,5775,True
P1165,Fugiat Furniture,Home & Kitchen,Furniture,Krishnan-Ravel,19940,21855,True
P1166,Earum Footwear,Fashion,Footwear,Savant LLC,627,1640,True
P1167,Ab Accessories,Electronics,Accessories,"Sarma, Banerjee and Sehgal",10707,14354,True
P1168,Neque Laptops,Electronics,Laptops,"Devan, Hegde and Yadav",7982,11993,True
P1169,Nobis Women,Fashion,Women Clothing,Taneja-Koshy,3760,5160,True
P1170,Corporis Accessories,Electronics,Accessories,Dayal-Sawhney,10043,13196,True
P1171,Sed Appliances,Home & Kitchen,Appliances,Tripathi PLC,16016,20278,True
P1172,Eos Appliances,Home & Kitchen,Appliances,Swamy PLC,11144,15856,True
P1173,Cum Food,Grocery,Food,Dar-Anand,4239,7396,True
P1174,Eligendi Furniture,Home & Kitchen,Furniture,Taneja Group,17745,21347,True
P1175,Nam Footwear,Fashion,Footwear,"Sarraf, Shah and Sidhu",18043,20666,True
P1176,Est Household,Grocery,Household,"Mangal, Rajan and Chandra",12109,14974,True
P1177,Totam Women,Fashion,Women Clothing,Kalita and Sons,1988,4568,True
P1178,Soluta Decor,Home & Kitchen,Decor,Sidhu Inc,8001,8635,True
P1179,Voluptate Decor,Home & Kitchen,Decor,Dey-Sarma,14925,19591,True
P1180,Esse Furniture,Home & Kitchen,Furniture,"Thaker, Dhillon and Mangat",3703,6796,True
P1181,Soluta Laptops,Electronics,Laptops,"Yadav, Suri and Batra",3905,4623,True
P1182,Magnam Furniture,Home & Kitchen,Furniture,Khurana-Sule,16373,18616,True
P1183,Culpa Mobile,Electronics,Mobile Phones,Ramanathan-Lal,1797,3139,True
P1184,Adipisci Decor,Home & Kitchen,Decor,Gara-Rama,19866,23546,True
P1185,Voluptate Beverages,Grocery,Beverages,"Bhatt, Mann and Rao",4699,7628,True
P1186,Deleniti Food,Grocery,Food,Deep PLC,10447,14983,True
P1187,Doloribus Mobile,Electronics,Mobile Phones,Kumar PLC,6161,10875,True
P1188,Aliquam Accessories,Electronics,Accessories,"Saini, Khosla and Dhillon",11389,15328,True
P1189,Autem Furniture,Home & Kitchen,Furniture,Bhagat Ltd,19243,23820,True
P1190,Voluptates Footwear,Fashion,Footwear,Behl and Sons,17998,22649,True
P1191,Doloribus Beverages,Grocery,Beverages,Yogi-Sem,12668,13093,True
P1192,Praesentium Mobile,Electronics,Mobile Phones,Som-Singh,15720,20500,True
P1193,Quo Laptops,Electronics,Laptops,Rana-Sule,15785,18061,True
P1194,Sapiente Mobile,Electronics,Mobile Phones,"Walla, Chatterjee and Dalal",5840,10696,True
P1195,Odit Food,Grocery,Food,Jhaveri-Walla,1213,2809,True
P1196,Maxime Footwear,Fashion,Footwear,Ramaswamy-Chaudhari,9123,13692,True
P1197,Laudantium Laptops,Electronics,Laptops,"Kant, Doctor and Varty",12541,16495,True
P1198,Quibusdam Beverages,Grocery,Beverages,Sathe PLC,269,834,True
P1199,Doloribus Food,Grocery,Food,"Choudhury, Deo and Salvi",13248,17589,True
P1200,Quibusdam Food,Grocery,Food,"Anne, Bhakta and Sen",1795,2422,True
P1201,Unde Decor,Home & Kitchen,Decor,Sama-Thaman,1562,6002,True
P1202,Id Women,Fashion,Women Clothing,"Vasa, Sankaran and Bahl",12339,15754,True
P1203,Rerum Men,Fashion,Men Clothing,"Kapur, Goyal and Suresh",16620,17152,True
P1204,Veritatis Decor,Home & Kitchen,Decor,Kumar-Choudhury,3059,3675,True
P1205,Magni Laptops,Electronics,Laptops,Mallick-Sundaram,488,3522,True
P1206,Dolores Accessories,Electronics,Accessories,Chad-Wali,18796,21502,True
P1207,Magnam Furniture,Home & Kitchen,Furniture,"Chanda, Kuruvilla and Bumb",17773,17879,True
P1208,Nesciunt Appliances,Home & Kitchen,Appliances,Kuruvilla Ltd,7907,11265,True
P1209,Dicta Decor,Home & Kitchen,Decor,"Gala, Sur and Rao",10173,14912,True
P1210,Voluptates Beverages,Grocery,Beverages,Khatri LLC,5045,6616,True
P1211,Magni Beverages,Grocery,Beverages,Virk LLC,16706,17552,True
P1212,Temporibus Mobile,Electronics,Mobile Phones,Sibal LLC,17981,21743,True
P1213,Fugit Decor,Home & Kitchen,Decor,Chokshi PLC,11026,14282,True
P1214,Veritatis Women,Fashion,Women Clothing,"Garg, Sami and Goswami",9803,10921,True
P1215,Dolorum Household,Grocery,Household,"Tandon, Ranganathan and Krishna",11848,16425,True
P1216,A Accessories,Electronics,Accessories,Soman LLC,15743,19992,True
P1217,Exercitationem Accessories,Electronics,Accessories,Bera Ltd,9722,9870,True
P1218,Voluptates Furniture,Home & Kitchen,Furniture,"Sahni, Sidhu and Lanka",14217,15354,True
P1219,In Mobile,Electronics,Mobile Phones,Borde-Vohra,9549,11028,True
P1220,Blanditiis Footwear,Fashion,Footwear,Chacko-Saraf,13055,15484,True
P1221,Magnam Footwear,Fashion,Footwear,Ramanathan-Iyengar,16755,17898,True
P1222,Repellat Women,Fashion,Women Clothing,"Gera, Yohannan and Bala",14054,15054,True
P1223,Sunt Accessories,Electronics,Accessories,"Dash, Chandra and Kakar",4184,4729,True
P1224,Maiores Women,Fashion,Women Clothing,Chaudhary-Tandon,18040,21622,True
P1225,Dolor Household,Grocery,Household,Sarna Ltd,12120,14610,True
P1226,Dolor Food,Grocery,Food,Walia Ltd,17982,19224,True
P1227,Tenetur Appliances,Home & Kitchen,Appliances,"Swamy, Hans and Karpe",2105,5382,True
P1228,Id Appliances,Home & Kitchen,Appliances,"Sidhu, Ahluwalia and Hayer",11518,13342,True
P1229,Animi Accessories,Electronics,Accessories,Bajwa-Roy,19824,23069,True
P1230,Laborum Beverages,Grocery,Beverages,"Thakkar, Chandra and Bhakta",9610,12075,True
P1231,Dolore Men,Fashion,Men Clothing,Basak Ltd,9673,11775,True
P1232,Doloribus Mobile,Electronics,Mobile Phones,Mani-Sharma,2944,4324,True
P1233,Id Accessories,Electronics,Accessories,Bedi-Barad,11128,12833,True
P1234,Tempore Food,Grocery,Food,Swamy-Sha,3292,5302,True
P1235,Odio Laptops,Electronics,Laptops,Shah Group,18021,21005,True
P1236,Dolorem Decor,Home & Kitchen,Decor,Doshi-Chada,1176,1650,True
P1237,Quo Men,Fashion,Men Clothing,"Mandal, Bora and Garde",19869,21100,True
P1238,Harum Decor,Home & Kitchen,Decor,"Krishnamurthy, Sandal and Walla",15489,18960,True
P1239,Sapiente Furniture,Home & Kitchen,Furniture,Dave-Ramanathan,18248,20434,True
P1240,Recusandae Appliances,Home & Kitchen,Appliances,"Bhat, Andra and Dass",4853,9126,True
P1241,Officiis Beverages,Grocery,Beverages,Dewan PLC,14478,19467,True
P1242,Dolor Laptops,Electronics,Laptops,Babu Group,10857,13862,True
P1243,Corporis Furniture,Home & Kitchen,Furniture,"Din, Mane and Saini",18575,21225,True
P1244,Nihil Food,Grocery,Food,"Kala, Randhawa and Ganguly",4994,5773,True
P1245,Corrupti Furniture,Home & Kitchen,Furniture,"Srinivasan, Kapadia and Chhabra",614,3373,True
P1246,Quos Decor,Home & Kitchen,Decor,Salvi-Dugal,17768,22713,True
P1247,Provident Laptops,Electronics,Laptops,Master Ltd,14718,15686,True
P1248,Recusandae Beverages,Grocery,Beverages,Karpe-Wable,11805,13480,True
P1249,Eos Footwear,Fashion,Footwear,Mane-Salvi,13537,17145,True
P1250,Aliquid Accessories,Electronics,Accessories,"Kalita, Bal and Anne",3072,4746,True
P1251,Atque Appliances,Home & Kitchen,Appliances,Wable-Cheema,6501,8279,True
P1252,Dignissimos Mobile,Electronics,Mobile Phones,"Mani, Sen and Tak",15626,17202,True
P1253,Quo Food,Grocery,Food,Karpe-Andra,19601,20605,True
P1254,Facere Laptops,Electronics,Laptops,Sankaran LLC,16313,18521,True
P1255,Magni Furniture,Home & Kitchen,Furniture,Dua-Bajwa,11176,14851,True
P1256,Voluptatem Food,Grocery,Food,Vasa-Chaudhari,8374,8546,True
P1257,Aperiam Mobile,Electronics,Mobile Phones,Devan Ltd,13616,18316,True
P1258,Dolores Appliances,Home & Kitchen,Appliances,Venkatesh-Vasa,18717,21780,True
P1259,Odio Laptops,Electronics,Laptops,Kothari-Kata,9552,13997,True
P1260,Cupiditate Household,Grocery,Household,"Raja, Sibal and Ratti",1665,1933,True
P1261,Dolorem Appliances,Home & Kitchen,Appliances,Gera LLC,18627,22756,True
P1262,Perferendis Furniture,Home & Kitchen,Furniture,Som PLC,7682,11478,True
P1263,Ut Accessories,Electronics,Accessories,Sharaf and Sons,6803,7564,True
P1264,Explicabo Laptops,Electronics,Laptops,Shere and Sons,766,5155,True
P1265,Similique Mobile,Electronics,Mobile Phones,Sharma Ltd,11227,11992,True
P1266,Architecto Men,Fashion,Men Clothing,Acharya-Wali,11229,15728,True
P1267,Quidem Laptops,Electronics,Laptops,Kala-Dugar,14448,14604,True
P1268,Atque Mobile,Electronics,Mobile Phones,Hari-Kumar,1384,5770,True
P1269,Voluptatum Mobile,Electronics,Mobile Phones,Vohra Ltd,2607,4684,True
P1270,Asperiores Furniture,Home & Kitchen,Furniture,"Hari, Chaudhary and Bhatt",17733,19833,True
P1271,Neque Household,Grocery,Household,Bumb and Sons,11966,14975,True
P1272,Vitae Mobile,Electronics,Mobile Phones,Mahal and Sons,17477,21727,True
P1273,Magni Decor,Home & Kitchen,Decor,"Edwin, Sahni and Butala",16658,17610,True
P1274,Qui Food,Grocery,Food,Dube-Sarraf,18818,20728,True
P1275,Dignissimos Accessories,Electronics,Accessories,Dhillon PLC,18249,22022,True
P1276,Corporis Appliances,Home & Kitchen,Appliances,"Din, Chaudhry and Keer",16347,17692,True
P1277,Harum Footwear,Fashion,Footwear,Garde PLC,2478,2790,True
P1278,Quisquam Household,Grocery,Household,Sastry-Lal,14689,19013,True
P1279,Quibusdam Food,Grocery,Food,"Gour, Zachariah and Gour",3443,5899,True
P1280,Quae Food,Grocery,Food,Doshi-Sethi,15847,17740,True
P1281,Expedita Laptops,Electronics,Laptops,"Saini, Kapur and Badal",9276,12731,True
P1282,Sint Furniture,Home & Kitchen,Furniture,Brar Group,14656,19507,True
P1283,Vel Women,Fashion,Women Clothing,Chand Ltd,16140,17954,True
P1284,Aut Appliances,Home & Kitchen,Appliances,Rana and Sons,10756,13277,True
P1285,Natus Beverages,Grocery,Beverages,Samra-Sahni,17796,20596,True
P1286,Eaque Men,Fashion,Men Clothing,"Kakar, Swamy and Sanghvi",614,1267,True
P1287,Enim Household,Grocery,Household,"Chandra, Handa and Toor",18230,21054,True
P1288,Nihil Food,Grocery,Food,"Kurian, Jaggi and Ray",8843,10267,True
P1289,Quisquam Men,Fashion,Men Clothing,Kari-Chowdhury,12411,16378,True
P1290,Ex Appliances,Home & Kitchen,Appliances,"Khatri, Butala and Devi",3067,5987,True
P1291,Delectus Food,Grocery,Food,Zachariah PLC,12159,12542,True
P1292,Vel Beverages,Grocery,Beverages,Subramanian LLC,19926,23214,True
P1293,Sed Beverages,Grocery,Beverages,Saxena-Edwin,18439,19741,True
P1294,Ipsum Footwear,Fashion,Footwear,"Sarma, Deshpande and Raja",11494,16364,True
P1295,Totam Men,Fashion,Men Clothing,"Walla, Malhotra and Bera",497,3337,True
P1296,Fugiat Decor,Home & Kitchen,Decor,"Krishna, Chada and Acharya",8947,10596,True
P1297,Cum Mobile,Electronics,Mobile Phones,Subramaniam-Lal,19977,20307,True
P1298,Sequi Furniture,Home & Kitchen,Furniture,Singhal LLC,11863,14176,True
P1299,Vitae Women,Fashion,Women Clothing,Krish and Sons,17320,17937,True
