return_id,order_id,product_id,return_date,return_reason,refund_amount
R9227,O100708,P1024,2024-02-16,Damaged,77955
R9228,O107892,P1285,2024-04-21,Customer Dissatisfied,61788
R9229,O107590,P1269,2024-02-14,Damaged,4684
R9230,O108998,P1285,2024-04-01,Damaged,61788
R9231,O105495,P1260,2024-05-31,Damaged,9665
R9232,O107420,P1241,2025-02-15,Wrong Item,77868
R9233,O102091,P1114,2024-07-29,Customer Dissatisfied,75570
R9234,O102399,P1079,2025-02-19,Customer Dissatisfied,45795
R9235,O103111,P1078,2024-03-14,Damaged,93556
R9236,O109074,P1226,2024-01-30,Wrong Item,57672
R9237,O107439,P1074,2024-05-23,Damaged,15963
R9238,O101886,P1058,2025-12-30,Damaged,48471
R9239,O107906,P1143,2024-04-27,Damaged,17700
R9240,O107847,P1299,2025-12-15,Damaged,17937
R9241,O101445,P1253,2024-04-05,Customer Dissatisfied,82420
R9242,O109471,P1067,2024-09-24,Wrong Item,74216
R9243,O105550,P1179,2025-06-17,Wrong Item,78364
R9244,O109064,P1286,2025-04-19,Customer Dissatisfied,6335
R9245,O108297,P1077,2025-12-30,Wrong Item,5894
R9246,O101639,P1059,2024-11-06,Damaged,43636
R9247,O103105,P1143,2025-04-09,Customer Dissatisfied,35400
R9248,O102737,P1046,2024-09-25,Wrong Item,22040
R9249,O107632,P1010,2024-09-04,Damaged,35304
R9250,O106752,P1038,2024-05-01,Damaged,22462
R9251,O104504,P1169,2025-04-27,Damaged,5160
R9252,O100372,P1180,2025-05-17,Damaged,20388
R9253,O100421,P1115,2024-09-06,Customer Dissatisfied,81232
R9254,O105295,P1166,2024-11-19,Wrong Item,8200
R9255,O105469,P1150,2025-06-28,Customer Dissatisfied,29688
R9256,O100674,P1169,2025-03-24,Customer Dissatisfied,15480
R9257,O106662,P1006,2024-04-27,Damaged,35890
R9258,O102908,P1007,2024-05-24,Customer Dissatisfied,63876
R9259,O108004,P1142,2025-02-18,Customer Dissatisfied,55055
R9260,O103575,P1046,2024-05-09,Damaged,44080
R9261,O102034,P1145,2025-07-17,Damaged,40485
R9262,O107294,P1148,2025-04-27,Damaged,20462
R9263,O103798,P1097,2024-07-12,Wrong Item,26745
R9264,O101659,P1264,2024-08-18,Damaged,20620
R9265,O100703,P1245,2025-11-28,Wrong Item,13492
R9266,O101929,P1179,2025-09-23,Customer Dissatisfied,39182
R9267,O102565,P1254,2025-03-07,Customer Dissatisfied,92605
R9268,O101388,P1113,2024-08-02,Wrong Item,4534
R9269,O103812,P1059,2025-01-24,Customer Dissatisfied,43636
R9270,O108606,P1119,2025-07-13,Customer Dissatisfied,80132
R9271,O109776,P1259,2025-02-04,Damaged,69985
R9272,O101843,P1040,2025-09-19,Damaged,12615
R9273,O104921,P1280,2025-02-25,Wrong Item,35480
R9274,O104346,P1212,2025-10-20,Wrong Item,21743
R9275,O109159,P1272,2024-01-12,Customer Dissatisfied,108635
R9276,O104717,P1234,2024-08-07,Damaged,21208
R9277,O108834,P1023,2025-04-25,Damaged,11148
R9278,O102546,P1261,2025-06-26,Customer Dissatisfied,22756
R9279,O102334,P1119,2025-04-25,Customer Dissatisfied,60099
R9280,O103809,P1037,2025-01-12,Customer Dissatisfied,70064
R9281,O109183,P1023,2024-12-23,Customer Dissatisfied,44592
R9282,O107483,P1207,2024-03-30,Damaged,35758
R9283,O104408,P1050,2024-08-13,Wrong Item,59930
R9284,O107227,P1188,2025-01-17,Damaged,76640
R9285,O107113,P1134,2024-08-23,Customer Dissatisfied,8636
R9286,O102986,P1048,2025-12-17,Wrong Item,67344
R9287,O106566,P1057,2025-11-24,Customer Dissatisfied,12244
R9288,O104505,P1233,2024-06-04,Wrong Item,38499
R9289,O107204,P1205,2025-02-24,Customer Dissatisfied,17610
R9290,O105770,P1132,2025-09-12,Damaged,96050
R9291,O100300,P1185,2024-09-08,Customer Dissatisfied,30512
R9292,O102656,P1146,2025-09-22,Customer Dissatisfied,66515
R9293,O105943,P1275,2024-05-22,Customer Dissatisfied,44044
R9294,O109300,P1284,2024-11-03,Wrong Item,66385
R9295,O106050,P1169,2025-08-02,Customer Dissatisfied,10320
R9296,O101218,P1266,2025-06-12,Customer Dissatisfied,31456
R9297,O107196,P1039,2024-03-07,Wrong Item,12648
R9298,O103701,P1293,2024-06-11,Wrong Item,59223
R9299,O107043,P1263,2025-09-07,Wrong Item,30256
R9300,O106795,P1144,2025-03-06,Damaged,108020
R9301,O107498,P1060,2025-01-27,Damaged,31470
R9302,O106545,P1082,2025-11-26,Damaged,42435
R9303,O105069,P1224,2025-06-16,Customer Dissatisfied,43244
R9304,O103074,P1262,2025-08-31,Customer Dissatisfied,34434
R9305,O108624,P1025,2024-07-27,Damaged,8362
R9306,O105040,P1233,2024-10-23,Damaged,51332
R9307,O101825,P1225,2025-10-06,Wrong Item,29220
R9308,O106548,P1027,2024-04-11,Wrong Item,10106
R9309,O102132,P1058,2024-01-13,Customer Dissatisfied,48471
R9310,O102929,P1197,2024-11-01,Wrong Item,49485
R9311,O106194,P1085,2024-05-22,Damaged,16941
R9312,O108666,P1292,2025-01-14,Customer Dissatisfied,92856
R9313,O105202,P1272,2024-06-24,Wrong Item,21727
R9314,O106581,P1067,2024-02-07,Damaged,55662
R9315,O107589,P1160,2025-11-12,Damaged,51060
R9316,O101435,P1208,2024-04-08,Damaged,33795
R9317,O106865,P1257,2025-04-03,Damaged,54948
R9318,O104637,P1145,2025-08-30,Wrong Item,26990
R9319,O106404,P1079,2024-08-25,Wrong Item,9159
R9320,O109524,P1220,2024-04-21,Wrong Item,30968
R9321,O100685,P1174,2025-08-02,Customer Dissatisfied,64041
R9322,O102915,P1009,2024-04-16,Damaged,79085
R9323,O108473,P1296,2024-07-28,Wrong Item,10596
R9324,O100385,P1199,2024-12-16,Wrong Item,70356
R9325,O107216,P1216,2025-09-18,Damaged,79968
R9326,O107541,P1280,2025-07-17,Wrong Item,70960
R9327,O109311,P1223,2025-03-06,Customer Dissatisfied,18916
R9328,O103362,P1114,2025-12-07,Customer Dissatisfied,30228
R9329,O108839,P1274,2024-08-15,Damaged,20728
R9330,O102013,P1149,2024-12-13,Customer Dissatisfied,24682
R9331,O102225,P1039,2024-09-10,Damaged,3162
R9332,O104129,P1182,2024-06-07,Damaged,74464
R9333,O103794,P1146,2025-04-08,Damaged,26606
R9334,O103049,P1175,2024-12-25,Wrong Item,61998
R9335,O101962,P1268,2024-08-02,Wrong Item,28850
R9336,O107470,P1127,2025-03-29,Wrong Item,46632
R9337,O101269,P1176,2025-06-30,Damaged,29948
R9338,O108846,P1280,2025-05-20,Damaged,35480
R9339,O106284,P1044,2024-03-03,Damaged,45428
R9340,O107762,P1179,2025-12-31,Wrong Item,78364
R9341,O109596,P1206,2025-05-02,Damaged,86008
R9342,O106878,P1222,2024-03-14,Damaged,30108
R9343,O107592,P1121,2024-03-26,Customer Dissatisfied,60005
R9344,O107907,P1200,2024-05-25,Wrong Item,7266
R9345,O104020,P1139,2025-03-14,Damaged,21395
R9346,O108254,P1142,2024-11-02,Damaged,33033
R9347,O105846,P1222,2024-03-14,Wrong Item,45162
R9348,O109979,P1142,2025-10-14,Customer Dissatisfied,33033
R9349,O100442,P1233,2024-08-09,Damaged,25666
R9350,O105129,P1243,2025-11-17,Damaged,21225
R9351,O103219,P1263,2025-01-24,Wrong Item,22692
R9352,O106807,P1012,2024-05-16,Wrong Item,40526
R9353,O104833,P1243,2024-06-25,Damaged,21225
R9354,O108822,P1266,2025-07-07,Customer Dissatisfied,15728
R9355,O108050,P1074,2025-05-06,Customer Dissatisfied,21284
R9356,O108833,P1012,2024-07-27,Wrong Item,81052
R9357,O102633,P1092,2025-05-12,Damaged,19568
R9358,O101510,P1216,2025-09-27,Customer Dissatisfied,39984
R9359,O107485,P1113,2024-01-09,Damaged,9068
R9360,O104828,P1035,2024-06-18,Damaged,65406
R9361,O106737,P1075,2024-07-13,Wrong Item,96430
R9362,O105806,P1143,2024-07-14,Damaged,8850
R9363,O102964,P1239,2024-01-08,Damaged,102170
R9364,O109711,P1131,2024-07-07,Wrong Item,61218
R9365,O100375,P1197,2025-01-04,Wrong Item,32990
R9366,O105663,P1256,2024-12-05,Damaged,34184
R9367,O109271,P1128,2024-04-04,Damaged,40312
R9368,O107588,P1274,2024-10-26,Wrong Item,82912
R9369,O108856,P1072,2025-09-23,Damaged,33639
R9370,O104040,P1046,2025-09-17,Damaged,55100
R9371,O100583,P1080,2025-12-23,Wrong Item,26515
R9372,O104166,P1088,2024-05-19,Damaged,85196
R9373,O107961,P1171,2025-03-26,Damaged,101390
R9374,O105840,P1279,2024-02-03,Damaged,11798
R9375,O102175,P1158,2025-01-19,Damaged,93495
R9376,O107904,P1117,2025-04-15,Customer Dissatisfied,53550
R9377,O100768,P1137,2025-06-09,Wrong Item,17876
R9378,O104064,P1038,2024-07-04,Customer Dissatisfied,89848
R9379,O108815,P1181,2025-11-29,Damaged,23115
R9380,O109809,P1236,2024-06-18,Customer Dissatisfied,3300
R9381,O101092,P1285,2025-09-23,Wrong Item,41192
R9382,O108109,P1007,2025-12-19,Wrong Item,31938
R9383,O109462,P1130,2025-08-10,Customer Dissatisfied,9394
R9384,O106875,P1001,2025-02-27,Customer Dissatisfied,31132
R9385,O104507,P1230,2024-05-04,Wrong Item,24150
R9386,O103136,P1265,2025-11-09,Wrong Item,59960
R9387,O103912,P1080,2025-01-28,Wrong Item,10606
R9388,O101044,P1297,2025-06-22,Damaged,101535
R9389,O101315,P1072,2025-09-06,Wrong Item,33639
R9390,O103715,P1123,2025-07-07,Customer Dissatisfied,30696
R9391,O108728,P1175,2024-08-13,Wrong Item,61998
R9392,O105825,P1011,2024-10-05,Customer Dissatisfied,20310
R9393,O107691,P1067,2025-10-08,Customer Dissatisfied,55662
R9394,O106206,P1101,2024-11-25,Wrong Item,51183
R9395,O107800,P1220,2024-04-02,Customer Dissatisfied,46452
R9396,O108534,P1156,2025-10-29,Customer Dissatisfied,14997
R9397,O106395,P1171,2024-01-12,Damaged,60834
R9398,O101263,P1105,2025-04-10,Wrong Item,31944
R9399,O100880,P1225,2025-02-18,Damaged,14610
R9400,O106841,P1218,2025-11-07,Customer Dissatisfied,30708
R9401,O102551,P1255,2025-04-11,Customer Dissatisfied,74255
R9402,O101961,P1132,2024-12-19,Damaged,38420
R9403,O105630,P1090,2025-02-05,Damaged,32480
R9404,O109360,P1090,2025-11-15,Damaged,19488
R9405,O108333,P1149,2024-09-13,Customer Dissatisfied,24682
R9406,O106130,P1030,2024-06-15,Customer Dissatisfied,47560
R9407,O104502,P1102,2025-07-30,Damaged,59025
R9408,O100210,P1105,2025-02-27,Wrong Item,10648
R9409,O104519,P1030,2025-12-07,Customer Dissatisfied,23780
R9410,O106337,P1003,2025-02-21,Wrong Item,4482
R9411,O105510,P1279,2024-11-28,Customer Dissatisfied,11798
R9412,O106333,P1279,2025-01-27,Customer Dissatisfied,29495
R9413,O107265,P1125,2024-04-08,Wrong Item,24450
R9414,O102827,P1249,2024-01-04,Damaged,17145
R9415,O108242,P1262,2024-08-23,Wrong Item,34434
R9416,O105440,P1129,2025-07-03,Customer Dissatisfied,5589
R9417,O105291,P1293,2025-01-05,Customer Dissatisfied,19741
R9418,O109552,P1148,2024-03-23,Damaged,51155
R9419,O104260,P1133,2024-05-12,Wrong Item,28916
R9420,O100937,P1256,2024-12-31,Wrong Item,17092
R9421,O102160,P1124,2024-05-21,Customer Dissatisfied,93465
R9422,O101404,P1260,2024-04-24,Wrong Item,5799
R9423,O108921,P1049,2025-08-06,Wrong Item,4384
R9424,O102047,P1273,2025-11-09,Damaged,70440
R9425,O103939,P1056,2025-04-15,Customer Dissatisfied,68916
R9426,O103318,P1160,2025-01-08,Customer Dissatisfied,85100
R9427,O103979,P1173,2024-06-19,Damaged,22188
R9428,O101422,P1188,2024-01-15,Customer Dissatisfied,30656
R9429,O109550,P1224,2024-12-29,Wrong Item,43244
R9430,O108282,P1148,2024-08-03,Wrong Item,40924
R9431,O107977,P1223,2025-05-04,Customer Dissatisfied,14187
R9432,O104426,P1152,2024-08-20,Customer Dissatisfied,35211
R9433,O100412,P1280,2024-08-01,Damaged,35480
R9434,O100226,P1110,2025-09-17,Customer Dissatisfied,5745
R9435,O106415,P1228,2025-07-28,Wrong Item,53368
R9436,O100847,P1204,2024-02-26,Wrong Item,11025
R9437,O105800,P1019,2024-01-03,Customer Dissatisfied,55025
R9438,O103072,P1115,2024-12-19,Customer Dissatisfied,20308
R9439,O101254,P1221,2025-04-14,Damaged,53694
R9440,O101242,P1028,2025-05-31,Wrong Item,39790
R9441,O103469,P1090,2024-09-24,Wrong Item,12992
R9442,O103694,P1083,2024-07-12,Customer Dissatisfied,35940
R9443,O101360,P1233,2025-11-24,Wrong Item,12833
R9444,O104732,P1139,2025-03-02,Damaged,85580
R9445,O102981,P1201,2025-03-29,Damaged,30010
R9446,O104874,P1215,2024-05-26,Customer Dissatisfied,49275
R9447,O103639,P1258,2024-05-22,Wrong Item,87120
R9448,O100097,P1067,2024-08-22,Wrong Item,37108
R9449,O109636,P1091,2024-06-25,Customer Dissatisfied,25568
R9450,O106023,P1068,2025-11-03,Damaged,46096
R9451,O106336,P1258,2025-07-23,Customer Dissatisfied,87120
R9452,O105067,P1199,2025-11-07,Damaged,87945
R9453,O101282,P1154,2025-03-09,Wrong Item,65236
R9454,O106786,P1094,2024-12-09,Wrong Item,11349
R9455,O104678,P1076,2024-11-23,Wrong Item,84755
R9456,O106156,P1020,2025-11-18,Customer Dissatisfied,50845
R9457,O102942,P1096,2025-01-18,Wrong Item,33902
R9458,O108122,P1077,2024-09-23,Customer Dissatisfied,5894
R9459,O101787,P1263,2025-03-23,Damaged,22692
R9460,O106797,P1251,2024-09-18,Customer Dissatisfied,24837
R9461,O108273,P1184,2024-09-02,Customer Dissatisfied,23546
R9462,O101627,P1236,2025-08-14,Customer Dissatisfied,3300
R9463,O100526,P1156,2024-09-04,Damaged,29994
R9464,O103305,P1131,2025-08-03,Wrong Item,61218
R9465,O101802,P1199,2025-01-03,Customer Dissatisfied,52767
R9466,O101039,P1119,2024-03-11,Wrong Item,100165
R9467,O103844,P1254,2024-05-12,Wrong Item,74084
R9468,O106412,P1174,2025-06-19,Customer Dissatisfied,21347
R9469,O106606,P1252,2024-12-17,Damaged,68808
