transaction_id,transaction_date,store_id,product_id,quantity,unit_price,discount,currency,last_updated_ts,total_amount
T000078,2024-10-03,S003,P0099,-2,1374.54,107.71,INR,2024-06-01 09:29:08.856881380,-2856.79
T000079,2024-01-06,S030,P0077,6,747.63,138.98,INR,2024-10-18 03:58:16.304022312,4346.8
T000080,2024-02-12,S006,P0011,3,1476.23,,INR,2024-09-07 11:34:14.729712009,
T000081,2024-01-17,S002,P0060,1,708.81,245.83,INR,2024-04-15 12:52:15.196060181,462.9799999999999
T000082,2024-01-15,S014,P0096,9,855.32,30.05,INR,2024-03-11 17:06:24.665908098,7667.83
T000083,2024-11-08,S041,P0015,1,1381.94,269.6,INR,2024-11-29 21:08:28.005043507,1112.3400000000001
T000084,2024-09-13,S018,P0038,9,819.05,279.76,INR,2024-11-02 05:27:27.125011444,7091.69
T000085,2024-06-22,S999,P0001,2,479.95,77.78,INR,2024-08-28 20:44:30.050877810,882.12
T000086,2024-02-05,S044,P0046,-1,1756.61,149.22,INR,2024-05-07 12:29:43.351430655,-1905.83
T000087,2024-06-28,S031,P0088,2,1852.1,257.36,INR,2024-07-05 07:37:27.117819548,3446.8399999999997
T000088,2024-06-21,S013,P0043,-1,1290.79,146.2,INR,2024-07-22 14:53:23.231758833,-1436.99
T000089,2024-03-04,S026,P0022,9,1641.19,144.59,INR,2024-02-01 09:58:21.978901148,14626.12
T000090,2024-06-07,S044,P0003,1,1974.64,185.56,INR,2024-12-20 20:46:07.190479040,1789.0800000000002
T000091,2024-05-25,S012,P0014,7,1268.07,230.23,INR,2024-02-03 12:20:10.576493740,8646.26
T000092,2024-08-12,S018,P0002,8,1826.71,199.69,INR,2024-09-20 09:56:55.876461267,14413.99
T000093,2024-08-19,S009,P0061,2,782.58,,INR,2024-06-28 20:56:33.021523476,
T000094,2024-01-17,S049,P0032,3,1430.9,111.5,INR,2024-10-04 08:32:15.638724089,4181.200000000001
T000095,2024-05-16,S021,P0038,3,206.03,189.02,INR,2024-04-05 05:44:58.445732117,429.07000000000005
T000096,2024-08-16,S048,P0097,6,1599.05,30.98,INR,2024-05-24 05:10:00.176155329,9563.32
T000097,2024-07-02,S049,P0046,1,1676.63,,INR,2024-07-10 19:23:33.863287687,
T000098,2024-11-08,S040,P0042,2,862.23,56.51,INR,2024-02-14 01:37:52.303553343,1667.95
T000099,2024-08-28,S043,P0006,3,1314.01,161.27,INR,2024-11-06 22:05:43.295649052,3780.7599999999998
T000100,2024-02-29,S024,P0041,1,1730.89,78.61,INR,2024-12-27 21:52:07.317518711,1652.2800000000002
T000101,2024-01-26,S034,P0025,3,1778.86,151.78,INR,2024-06-01 10:04:01.569426537,5184.8
T000102,2024-08-22,S008,P0098,-1,302.41,233.2,INR,2024-05-17 12:54:42.763498783,-535.61
T000103,2024-01-10,S044,P0011,9,1672.23,130.2,INR,2024-08-04 20:08:46.441794634,14919.869999999999
T000104,2024-08-01,S033,P9999,4,621.06,65.62,INR,2024-09-08 08:44:15.511268139,2418.62
T000105,2024-12-09,S023,P0041,0,1481.88,,INR,2024-11-13 00:43:45.741576672,
T000106,2024-07-29,S013,P0071,7,717.81,271.88,INR,2024-05-16 02:31:30.681474209,4752.79
T000107,2024-05-21,S049,P0057,1,207.03,234.27,INR,2024-10-06 03:53:12.914394855,-27.24000000000001
T000108,2024-08-22,S014,P0046,6,498.75,,INR,2024-03-28 15:06:25.090233326,
T000109,2024-06-16,S014,P0086,9,876.48,282.82,INR,2024-09-05 08:43:27.686573505,7605.5
T000110,2024-07-18,S016,P0048,2,1508.33,33.77,INR,2024-06-19 08:41:17.267977476,2982.89
T000111,2024-12-09,S049,P0063,6,291.34,195.88,INR,2024-08-29 12:19:17.968218803,1552.1599999999999
T000112,2024-05-20,S038,P0039,7,1644.57,165.45,INR,2024-05-18 15:06:53.599017620,11346.539999999999
T000113,2024-12-16,S039,P0010,7,1994.21,14.0,INR,2024-04-17 10:24:45.121486902,13945.470000000001
T000114,2024-11-26,S026,P0085,7,1597.69,88.55,INR,2024-06-26 09:16:25.313526392,11095.28
T000115,2024-03-12,S026,P0070,9,1000.1,232.76,INR,2024-11-22 17:05:59.211509943,8768.14
T000116,2024-01-26,S001,P0065,7,1179.5,92.06,INR,2024-09-03 07:42:14.094415426,8164.44
T000117,2024-02-06,S032,P0098,3,111.7,144.1,INR,2024-08-11 06:07:04.291122198,191.00000000000003
T000118,2024-01-07,S015,P0059,5,497.62,,INR,2024-09-19 18:01:09.712662935,
T000119,2024-02-04,S021,P0078,2,1808.08,21.47,INR,2024-09-23 03:01:05.862164497,3594.69
T000120,2024-09-06,S018,P0036,2,141.29,249.78,INR,2024-04-17 13:57:28.954402208,32.79999999999998
T000121,2024-01-26,S030,P0027,0,1819.11,12.47,INR,2024-03-25 22:46:53.872779608,-12.47
T000122,2024-04-26,S013,P0073,4,315.18,78.72,INR,2024-07-04 19:59:42.551181316,1182.0
T000123,2024-11-04,S024,P0055,-1,352.84,228.92,INR,2024-02-23 23:02:57.061581612,-581.76
T000124,2024-01-09,S030,P0070,8,433.16,273.56,INR,2024-06-22 06:43:40.841344833,3191.7200000000003
T000125,2024-10-24,S002,P0095,9,1618.83,228.1,INR,2024-09-09 23:04:35.486326456,14341.369999999999
T000126,2024-04-12,S019,P0081,0,1008.55,68.1,INR,2024-01-03 16:54:46.943819046,-68.1
T000127,2024-02-13,S047,P0053,-1,375.87,295.72,INR,2024-02-10 13:39:06.136803150,-671.59
T000128,2024-09-11,S044,P0060,5,1404.92,124.0,INR,2024-12-17 04:27:59.684408188,6900.6
T000129,2024-08-17,S047,P0061,1,1887.31,112.94,INR,2024-12-04 16:46:17.927797318,1774.37
T000130,2024-11-16,S025,P0036,7,1187.66,259.57,INR,2024-06-01 12:56:54.975742817,8054.050000000001
T000131,2024-09-25,S050,P0085,5,287.53,19.86,INR,2024-08-03 08:41:14.887397289,1417.79
T000132,2024-10-20,S014,P0027,5,204.03,166.82,INR,2024-02-26 16:21:42.275686502,853.3299999999999
T000133,2024-04-12,S006,P0041,5,1612.16,289.69,INR,2024-04-30 19:39:54.077866316,7771.110000000001
T000134,2024-03-05,S012,P0028,5,1289.56,30.04,INR,2024-10-16 10:05:09.182393074,6417.759999999999
T000135,2024-09-30,S020,P0016,5,1853.05,162.25,INR,2024-11-08 10:16:01.894619226,9103.0
T000136,2024-10-21,S023,P0035,9,1139.78,39.74,INR,2024-05-27 22:21:33.775796652,10218.28
T000137,2024-12-27,S030,P0036,6,218.55,266.99,INR,2024-04-23 12:49:17.662640572,1044.3100000000002
T000138,2024-05-30,S030,P0056,-1,867.01,176.32,INR,2024-09-05 19:32:00.345328093,-1043.33
T000139,2024-05-15,S038,P0099,6,1350.18,70.38,INR,2024-09-19 00:49:53.952840567,8030.7
T000140,2024-10-10,S030,P0019,5,831.28,92.11,INR,2024-12-25 02:08:58.439996958,4064.2899999999995
T000141,2024-05-04,S041,P0057,8,1999.22,154.99,INR,2024-09-11 12:36:01.290543795,15838.77
T000142,2024-12-05,S030,P0085,7,870.22,217.6,INR,2024-03-28 15:50:43.359141111,5873.94
T000143,2024-11-09,S036,P0033,-2,1137.85,146.25,INR,2024-01-22 21:27:53.793708086,-2421.95
T000144,2024-06-05,S049,P0023,2,528.24,56.78,INR,2024-04-04 00:37:17.730275631,999.7
T000145,2024-10-01,S034,P0063,8,389.06,212.44,INR,2024-03-23 17:28:37.153513908,2900.04
T000146,2024-10-02,S016,P0070,-1,1326.08,35.51,INR,2024-02-03 21:13:41.904049158,-1361.59
T000147,2024-02-07,S024,P0096,7,1218.36,242.82,INR,2024-06-11 04:50:06.732327461,8285.699999999999
T000148,2024-11-25,S014,P0022,2,108.24,118.68,INR,2024-04-15 04:05:55.394735098,97.79999999999998
T000149,2024-07-03,S026,P0067,5,641.08,195.81,INR,2024-12-03 15:47:36.138901472,3009.59
T000150,2024-10-28,S008,P0099,6,1322.8,103.41,INR,2024-05-27 10:14:57.835184574,7833.389999999999
T000151,2024-04-26,S014,P0080,6,1643.27,200.72,INR,2024-11-15 23:09:41.445714951,9658.9
T000152,2024-11-22,S031,P0059,-2,693.5,266.76,INR,2024-04-21 22:58:22.255956173,-1653.76
T000153,2024-05-22,S002,P0025,4,1330.13,210.42,INR,2024-10-30 11:51:27.312057734,5110.1
T000154,2024-01-04,S048,P0017,9,603.99,201.42,INR,2024-06-14 21:32:50.961198330,5234.49
T000155,2024-11-26,S004,P0039,8,1411.72,227.22,INR,2024-01-12 19:27:28.157154083,11066.54
T000156,2024-02-03,S001,P0077,5,1426.1,150.06,INR,2024-06-26 17:42:43.372883558,6980.44
T000157,2024-04-26,S020,P0092,7,347.42,66.09,INR,2024-03-23 18:29:21.585790396,2365.85
T000158,2024-12-12,S014,P0075,0,1363.67,244.66,INR,2024-04-22 05:11:36.187273502,-244.66
T000159,2024-12-12,S040,P0074,3,733.78,194.54,INR,2024-09-06 18:58:15.040837049,2006.8000000000002
T000160,2024-07-28,S025,P0039,8,427.93,,INR,2024-07-12 06:27:38.848307610,
T000161,2024-08-18,S025,P0024,0,1050.69,,INR,2024-11-20 08:14:43.783078194,
T000162,2024-06-12,S003,P0038,6,959.36,149.98,INR,2024-12-07 14:57:46.063028336,5606.18
T000163,2024-04-17,S005,P0088,0,1570.36,,INR,2024-09-09 04:47:11.938526869,
T000164,2024-04-29,S038,P0097,-1,260.58,263.47,INR,2024-11-11 04:34:12.796185732,-524.05
T000165,2024-09-02,S026,P0081,6,1600.53,236.57,INR,2024-03-12 04:51:06.026894569,9366.61
T000166,2024-10-01,S040,P0057,8,301.56,92.49,INR,2024-01-29 22:26:39.937244415,2319.9900000000002
T000167,2024-10-15,S038,P0044,5,494.17,14.82,INR,2024-05-01 12:48:33.802217722,2456.0299999999997
T000168,2024-10-15,S038,P0036,5,1080.18,15.56,INR,2024-04-28 21:16:29.114147663,5385.34
T000169,2024-02-03,S004,P0099,-1,980.03,89.14,INR,2024-08-30 18:12:37.645775080,-1069.17
T000170,2024-06-29,S007,P0070,3,1978.83,,INR,2024-11-02 17:33:05.409546137,
T000171,2024-01-22,S030,P0080,2,1220.0,262.0,INR,2024-04-18 08:41:21.573788166,2178.0
T000172,2024-07-19,S030,P0045,9,722.13,126.23,INR,2024-06-04 01:00:41.348702669,6372.9400000000005
T000173,2024-06-10,S019,P0092,-1,1810.28,104.41,INR,2024-02-08 07:24:32.251142979,-1914.69
T000174,2024-11-20,S039,P0096,2,693.21,65.37,INR,2024-05-30 15:36:38.283318996,1321.0500000000002
T000175,2024-05-08,S035,P0026,1,620.17,252.36,INR,2024-03-19 06:13:12.929795980,367.80999999999995
T000176,2024-02-12,S040,P0011,6,1039.31,237.74,INR,2024-05-19 14:18:32.920033932,5998.12
T000177,2024-02-22,S033,P0052,9,1835.03,115.3,INR,2024-04-07 05:12:07.186614513,16399.97
T000178,2024-10-04,S033,P0025,-2,1446.18,50.81,INR,2024-10-22 04:28:14.608937263,-2943.17
T000179,2024-08-13,S014,P0031,3,1387.22,285.6,INR,2024-01-02 11:35:20.919032335,3876.06
T000180,2024-02-06,S038,P0085,4,1479.55,94.76,INR,2024-05-03 15:05:03.742492437,5823.44
T000181,2024-01-31,S010,P0045,9,1353.32,231.33,INR,2024-12-19 18:30:15.158447981,11948.55
T000182,2024-09-12,S028,P0067,3,1543.61,138.91,INR,2024-09-04 19:58:33.688123941,4491.92
T000183,2024-01-27,S014,P0076,2,466.25,234.49,INR,2024-10-08 20:11:05.804886341,698.01
T000184,2024-10-26,S036,P0040,9,436.79,144.48,INR,2024-11-09 20:29:38.994877338,3786.63
T000185,2024-09-14,S038,P0046,1,788.11,277.67,INR,2024-05-12 01:45:15.224729300,510.44
T000186,2024-01-30,S016,P0054,2,1716.82,240.13,INR,2024-01-25 01:40:29.544243097,3193.5099999999998
T000187,2024-01-31,S021,P0041,6,1457.46,78.09,INR,2024-05-29 21:38:38.462011337,8666.67
T000188,2024-12-26,S028,P0089,2,1176.3,129.11,INR,2024-08-26 05:42:30.351268291,2223.49
T000189,2024-05-16,S033,P0081,7,136.95,,INR,2024-05-15 08:08:03.272501707,
T000190,2024-05-15,S006,P0038,5,548.02,271.04,INR,2024-06-12 15:13:03.354343414,2469.06
T000191,2024-10-23,S041,P0100,4,1626.68,20.79,INR,2024-10-28 07:24:53.635991573,6485.93
T000192,2024-12-11,S015,P0036,1,560.72,5.47,INR,2024-01-14 05:26:13.965478897,555.25
T000193,2024-12-25,S044,P0083,7,1487.55,148.93,INR,2024-05-02 04:09:22.274615049,10263.92
T000194,2024-10-01,S003,P0044,2,450.81,180.94,INR,2024-06-27 06:29:53.247245073,720.6800000000001
T000195,2024-05-17,S043,P0057,4,1252.1,,INR,2024-04-19 04:52:42.331562519,
T000196,2024-01-31,S047,P0066,3,1293.6,171.16,INR,2024-06-11 17:27:54.367987633,3709.64
T000197,2024-10-10,S035,P0081,0,1528.74,268.67,INR,2024-05-26 15:27:20.233428717,-268.67
T000198,2024-07-22,S014,P0030,7,932.85,187.83,INR,2024-12-03 05:26:32.428534269,6342.12
T000199,2024-06-03,S002,P0010,0,1302.08,136.72,INR,2024-06-28 23:45:12.625577211,-136.72
T000200,2024-11-26,S029,P0099,-1,1025.24,43.33,INR,2024-06-22 20:34:49.268036366,-1068.57
T000201,2024-02-10,S004,P0061,0,1899.94,50.68,INR,2024-04-02 21:18:56.590220690,-50.68
T000202,2024-06-28,S026,P0063,8,1091.57,145.31,INR,2024-01-17 21:47:16.609571457,8587.25
T000203,2024-01-05,S999,P0036,7,498.24,,INR,2024-04-19 07:25:41.502752304,
T000204,2024-06-20,S012,P0054,-2,1369.0,,INR,2024-01-10 22:20:37.164839029,
T000205,2024-01-21,S002,P0097,6,1142.09,152.37,INR,2024-10-28 18:32:32.743053913,6700.169999999999
T000206,2024-02-13,S017,P0065,-1,1627.28,102.38,INR,2024-03-15 13:33:35.774479389,-1729.6599999999999
T000207,2024-02-12,S035,P0082,9,436.13,,INR,2024-11-28 14:03:19.128878355,
T000208,2024-08-24,S010,P0004,0,595.79,63.66,INR,2024-11-19 07:55:25.553322077,-63.66
T000209,2024-09-29,S048,P0055,2,1851.1,255.7,INR,2024-08-30 14:44:09.152925253,3446.5
T000210,2024-07-31,S022,P0054,7,1867.05,,INR,2024-11-10 19:52:57.535138130,
T000211,2024-12-17,S041,P0091,9,940.29,124.77,INR,2024-11-16 10:32:08.548166990,8337.84
T000212,2024-05-16,S043,P0089,1,190.73,63.22,INR,2024-10-10 08:47:39.542224407,127.50999999999999
T000213,2024-04-14,S021,P0064,2,682.45,185.54,INR,2024-07-04 09:26:55.286728621,1179.3600000000001
T000214,2024-11-13,S015,P0092,3,569.53,143.29,INR,2024-12-12 18:24:25.661606789,1565.3
T000215,2024-03-22,S035,P0022,2,887.89,112.29,INR,2024-10-25 11:24:42.093819618,1663.49
T000216,2024-12-17,S048,P0025,7,703.82,142.54,INR,2024-02-16 08:23:19.239261389,4784.200000000001
T000217,2024-01-05,S021,P0081,-2,1675.09,126.37,INR,2024-06-02 06:23:47.873240232,-3476.5499999999997
T000218,2024-12-20,S021,P0059,3,105.77,256.55,INR,2024-07-15 23:41:41.270639658,60.75999999999999
T000219,2024-01-16,S021,P0057,6,1324.8,37.28,INR,2024-07-12 05:40:15.879405737,7911.5199999999995
T000220,2024-11-21,S044,P0054,0,1362.11,,INR,2024-05-18 12:43:29.235939026,
T000221,2024-07-11,S032,P0044,-1,1355.19,196.6,INR,2024-07-13 01:10:06.972948313,-1551.79
T000222,2024-12-28,S005,P0052,3,1089.13,104.5,INR,2024-02-03 22:36:37.093646526,3162.8900000000003
T000223,2024-01-27,S039,P0076,9,1261.1,275.73,INR,2024-08-27 03:50:10.108090878,11074.17
T000224,2024-07-21,S009,P0016,0,1639.94,53.08,INR,2024-06-30 16:13:17.843982220,-53.08
T000225,2024-12-19,S018,P9999,1,1589.97,93.09,INR,2024-10-14 11:50:24.272615433,1496.88
T000226,2024-07-09,S021,P0016,3,165.79,112.45,INR,2024-09-10 02:04:34.331844330,384.92
T000227,2024-08-17,S008,P0081,9,157.83,194.34,INR,2024-02-11 03:51:48.216243744,1226.13
T000228,2024-09-10,S044,P0055,9,1694.0,283.92,INR,2024-05-08 00:12:56.263802767,14962.08
T000229,2024-06-14,S034,P0061,3,1191.99,,INR,2024-09-25 17:31:16.012555838,
T000230,2024-08-17,S010,P0095,9,1919.11,256.89,INR,2024-05-02 23:07:22.971824646,17015.1
T000231,2024-08-01,S999,P0079,-1,920.02,271.49,INR,2024-07-25 22:03:10.979491234,-1191.51
T000232,2024-11-24,S041,P0077,0,435.81,139.94,INR,2024-12-16 20:43:16.415478706,-139.94
T000233,2024-01-17,S024,P0040,6,999.15,141.73,INR,2024-01-30 04:06:16.202088118,5853.17
T000234,2024-04-12,S040,P0091,-1,929.43,75.0,INR,2024-03-10 10:56:00.391131401,-1004.43
T000235,2024-12-12,S024,P0021,0,1082.64,180.48,INR,2024-06-24 10:08:18.089387178,-180.48
T000236,2024-11-20,S032,P0066,6,1635.1,36.01,INR,2024-09-26 12:40:37.299883127,9774.589999999998
T000237,2024-06-15,S033,P0008,1,1345.61,190.3,INR,2024-04-30 11:46:31.158895016,1155.31
T000238,2024-08-14,S038,P0071,-2,452.02,267.87,INR,2024-02-12 20:57:45.330247641,-1171.9099999999999
T000239,2024-04-11,S044,P0010,8,1495.51,228.24,INR,2024-04-25 06:11:46.604418755,11735.84
T000240,2024-03-09,S999,P0057,-1,1224.6,194.76,INR,2024-08-23 05:13:45.082360506,-1419.36
T000241,2024-06-18,S049,P0004,0,1198.79,,INR,2024-10-16 06:43:07.069277048,
T000242,2024-05-08,S034,P0043,6,1388.69,218.94,INR,2024-12-22 14:37:58.539611340,8113.2
T000243,2024-08-01,S011,P0100,6,1171.53,158.9,INR,2024-10-04 21:23:17.942757845,6870.280000000001
T000244,2024-01-29,S031,P0099,8,969.28,,INR,2024-06-28 16:11:09.277976990,
T000245,2024-12-21,S018,P0063,3,1316.72,32.1,INR,2024-04-16 19:19:31.473849773,3918.06
T000246,2024-12-25,S023,P0043,8,1475.08,130.32,INR,2024-12-04 13:02:36.672974586,11670.32
T000247,2024-09-11,S022,P0067,3,528.96,156.73,INR,2024-07-13 23:40:56.778515577,1430.15
T000248,2024-07-14,S043,P0082,0,1044.39,,INR,2024-09-08 09:49:55.210991859,
T000249,2024-04-22,S018,P0051,2,970.53,232.8,INR,2024-06-21 10:34:39.111519575,1708.26
T000250,2024-10-24,S040,P0056,8,175.82,48.29,INR,2024-03-29 08:51:28.325102806,1358.27
T000251,2024-09-06,S047,P0043,1,1685.43,238.47,INR,2024-07-18 15:10:50.870904684,1446.96
T000252,2024-02-29,S041,P0024,7,817.03,222.5,INR,2024-11-02 13:33:38.727438927,5496.71
T000253,2024-11-28,S047,P0096,7,238.11,270.25,INR,2024-05-19 21:53:28.782776117,1396.52
T000254,2024-10-27,S039,P0034,9,970.01,112.04,INR,2024-09-01 02:02:38.993140459,8618.05
T000255,2024-12-12,S020,P0059,6,406.81,52.96,INR,2024-01-16 11:02:23.680791378,2387.9
T000256,2024-09-21,S013,P0002,6,1438.39,227.59,INR,2024-12-07 20:04:09.038486719,8402.75
T000257,2024-08-11,S045,P0002,-2,1186.37,176.53,INR,2024-12-20 00:36:01.041427135,-2549.27
